Date	IBM
1/9/2017	166.334802
1/10/2017	164.221522
1/11/2017	166.434024
1/12/2017	166.632452
1/13/2017	166.027237
1/17/2017	166.572925
1/18/2017	165.491479
1/19/2017	165.501396
1/20/2017	169.212061
1/23/2017	169.688291
1/24/2017	174.520082
1/25/2017	176.891332
1/26/2017	177.25844
1/27/2017	175.909108
1/30/2017	174.420876
1/31/2017	173.150918
2/1/2017	172.922712
2/2/2017	173.210445
2/3/2017	174.440723
2/6/2017	174.480403
2/7/2017	177.060012
2/8/2017	176.169998
