Date	XOM
1/9/2017	86.251307
1/10/2017	85.151365
1/11/2017	86.023388
1/12/2017	85.557646
1/13/2017	85.567557
1/17/2017	86.568407
1/18/2017	85.498192
1/19/2017	83.962241
1/20/2017	85.111726
1/23/2017	84.200065
1/24/2017	84.318972
1/25/2017	84.566707
1/26/2017	84.824353
1/27/2017	84.735172
1/30/2017	84.091061
1/31/2017	83.129849
2/1/2017	82.18846
2/2/2017	82.693833
2/3/2017	82.783022
2/6/2017	82.555103
2/7/2017	82.019995
2/8/2017	81.480003
