Date	AAPL
1/9/2017	118.989998
1/10/2017	119.110001
1/11/2017	119.75
1/12/2017	119.25
1/13/2017	119.040001
1/17/2017	120
1/18/2017	119.989998
1/19/2017	119.779999
1/20/2017	120
1/23/2017	120.080002
1/24/2017	119.970001
1/25/2017	121.879997
1/26/2017	121.940002
1/27/2017	121.949997
1/30/2017	121.629997
1/31/2017	121.349998
2/1/2017	128.75
2/2/2017	128.529999
2/3/2017	129.080002
2/6/2017	130.289993
2/7/2017	131.529999
2/8/2017	132.039993
